Raw Name,Cleaned Name
Abbot'S Hill,Abbots Hill
Aldbury,Aldbury C Of E Primary School
Aldbury C Of E Primary Schoo,Aldbury C Of E Primary School
Aldbury C Of E Primary School,Aldbury C Of E Primary School
Aldbury Cofe Infant School,Aldbury C Of E Primary School
Aldbury School,Aldbury C Of E Primary School
Ashlyns,Ashlyns School
Ashlyns School,Ashlyns School
Ashridge Day Nursery,Ashridge Day Nursery
Aston Clinton Cubs,Aston Clinton Cubs
Barnowls Nursery / Aston Clinton Pre School,Barnowls Nursery / Aston Clinton Pre School
Berkhamsted Pre Prep School,Berkhamsted Pre Prep School
Berkhamsted Pre-Prep,Berkhamsted Pre Prep School
Berkhamsted Prep,Berkhamsted Prep School
Berkhamsted Prep School,Berkhamsted Prep School
Berkhamsted School,Berkhamsted School
Bishop Wood,Bishop Wood C Of E Junior School
Bishop Wood C Of E Junior School,Bishop Wood C Of E Junior School
Bishop Wood Church Of England School,Bishop Wood C Of E Junior School
Bishop Wood School,Bishop Wood C Of E Junior School
Bishopwood,Bishop Wood C Of E Junior School
Bridgewatee,Bridgewater Primary School
Bridgewater,Bridgewater Primary School
Bridgewater Primary,Bridgewater Primary School
Bridgewater Primary School,Bridgewater Primary School
Bridgewater School,Bridgewater Primary School
"Bridgewater School, Berkhamsted",Bridgewater Primary School
Bright Start Nursery,Bright Start Nursery
Brookmead,Brookmead School
Brookmead School,Brookmead School
Cheddington,Cheddington Combined School
Cheddington Combined,Cheddington Combined School
Cheddington Combined School,Cheddington Combined School
Cheddington School,Cheddington Combined School
Chesham Prep,Chesham Prep
Cottesloe,Cottesloe School
Cottesloe School,Cottesloe School
Dundale,Dundale Primary School And Nursery
Dundale Primary School,Dundale Primary School And Nursery
Dundale Primary School And Nursery,Dundale Primary School And Nursery
Dundale School,Dundale Primary School And Nursery
Flower Pots Nursery,Flower Pots Nursery
Gateway,Gateway
Goldfield,Goldfield
Goldfield Infant And Nursery School,Goldfield Infant And Nursery School
Goldfield Infants School,Goldfield Infant And Nursery School
Goldfield Primary School,Goldfield Infant And Nursery School
Goldfield School,Goldfield Infant And Nursery School
Goldfields,Goldfield Infant And Nursery School
"Goldfields Infants & Nursery School , Tring.",Goldfield Infant And Nursery School
"Goldfields Infants & Nursery School, Tring",Goldfield Infant And Nursery School
Greenway,Greenway Berkhamsted
Greenway Berkhamsted,Greenway Berkhamsted
Grove,Grove Road Primary School
Grove Primary School,Grove Road Primary School
Grove Rd,Grove Road Primary School
Grove Road,Grove Road Primary School
Grove Road Primary,Grove Road Primary School
Grove Road Primary School,Grove Road Primary School
Grove Road Primary Tring,Grove Road Primary School
Grove School,Grove Road Primary School
Halton,Halton
Heath Lane Nursery,Heath Lane Nursery
Heirs & Graces,Heirs And Graces
Heirs And Graces,Heirs And Graces
Heirs&Graces,Heirs And Graces
Kinderzimmer Nursery Berkhamsted,Kinderzimmer Nursery Berkhamsted
Kindred Nursery,Kindred Nursery
Kindred Tring,Kindred Nursery
Kindred Tring Nursery,Kindred Nursery
Long Marston,Long Marston Primary School
Long Marston Primary School,Long Marston Primary School
Long Marston School,Long Marston Primary School
Long Marston Va C Of E Primary School,Long Marston Primary School
Long Marston Va Church Of England Primary School,Long Marston Primary School
Nursery,Nursery
Shfgs,Sir Henry Floyd Grammar School
Sir Henry Floyd Grammar School,Sir Henry Floyd Grammar School
St Bart'S - Wigginton,"St Bartholomews School, Wigginton"
St Bartholomew Wigginton,"St Bartholomews School, Wigginton"
St Bartholomews,"St Bartholomews School, Wigginton"
St Bartholomews School Wigginton,"St Bartholomews School, Wigginton"
"St Bartholomews School, Wigginton","St Bartholomews School, Wigginton"
St Bartholomew’S Wigginton,"St Bartholomews School, Wigginton"
St Bart’S Wigginton,"St Bartholomews School, Wigginton"
St Bart’S Wigginton.,"St Bartholomews School, Wigginton"
St Mary'S Primary Northchurch,St Mary's Primary Northchurch
St Mary’S,St Mary's Primary Northchurch
St Thomas More,St Thomas More RC Primary
St Thomas More Rc Primary,St Thomas More RC Primary
St. Thomas More,St Thomas More RC Primary
"St. Thomas More, Berkhamsted",St Thomas More RC Primary
St.Bartholomews Wiggington,"St Bartholomews School, Wigginton"
Stepping Stones,Stepping Stones Pre School
Stepping Stones Pre School,Stepping Stones Pre School
Sunhill Nursery,Sunhill Nursery
Swallowfield Primary School,Swallowfield Primary School
The Thomas Coram School,The Thomas Coram School
Thomas Coram,The Thomas Coram School
"Thomas Coram, Berkhamsted",The Thomas Coram School
Thomas Corum,The Thomas Coram School
Tring School,Tring School
Victoria,Victoria C of E Infant School
Victoria Cofe Infant School,Victoria C of E Infant School
"Victoria, Berkhamsted",Victoria C of E Infant School
Westbrook Hay,Westbrook Hay
Weston Turville C Of E School,Weston Turville C Of E School
Wigginton Preschool,Wigginton Preschool
Windmill Preschool,Windmill Preschool
